STATPERS	NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	syear	sm	sym	month	eyear	em	eym	FE
18may2000	1	68	68		68	68		2000	5	2000m5	484	2000	8	2000m8	
16may2002	10	97.4	96.3	3	102.1	91.8	89.8466	2002	5	2002m5	508	2002	8	2002m8	.0775503
15may2003	16	56.5	63.1	17.6	107.8	52.5	67.6833	2003	5	2003m5	520	2003	8	2003m8	.1979345
20may2004	16	98.4	101.2	7.6	121.3	93	101.6399	2004	5	2004m5	532	2004	8	2004m8	.0329258
19may2005	13	118.1	116.9	3.6	120.9	109.6	110.6632	2005	5	2005m5	544	2005	8	2005m8	.0629704
18may2006	14	131.2	130.8	5.1	136.9	119.1	132.4599	2006	5	2006m5	556	2006	8	2006m8	.0096029
17may2007	15	122.7	122.6	2.7	128.3	117.5	103.9932	2007	5	2007m5	568	2007	8	2007m8	.1524597
15may2008	16	135	135.8	3.3	141.7	128.5	142.4599	2008	5	2008m5	580	2008	8	2008m8	.0552585
14may2009	19	176.7	176.3	5.1	186.8	165.9	162.9865	2009	5	2009m5	592	2009	8	2009m8	.0776089
20may2010	17	232.5	230.1	6.7	238.4	219.4	201.9965	2010	5	2010m5	604	2010	8	2010m8	.1311979
19may2011	21	196.5	193.9	9.2	205.3	168.3	177.9764	2011	5	2011m5	616	2011	8	2011m8	.0942677
17may2012	25	266.7	262	14.7	278.3	229.2	234.5398	2012	5	2012m5	628	2012	8	2012m8	.1205857
16may2013	20	298.2	298.7	22.7	346.9	234.5	295.7064	2013	5	2013m5	640	2013	8	2013m8	.0083622
15may2014	23	287.9	293.8	11.7	330.3	278.7	243.8364	2014	5	2014m5	652	2014	8	2014m8	.1530517
14may2015	22	429.6	421.4	32.3	467.3	337.7	359.8063	2015	5	2015m5	664	2015	8	2015m8	.1624621
19may2016	16	195	205.5	39.5	346.3	173.3	157.1032	2016	5	2016m5	676	2016	8	2016m8	.1943426
18may2017	17	358	363.3	31.9	415.3	326.5	389.8996	2017	5	2017m5	688	2017	8	2017m8	.089105
17may2018	18	448.3	451.6	22	496.1	425	505.9028	2018	5	2018m5	700	2018	8	2018m8	.1284916
16may2019	17	542.4	541.9	14.5	575.5	515.7	531.0661	2019	5	2019m5	712	2019	8	2019m8	.0208958
14may2020	15	335.1	370.5	90.1	542.3	253.3	295.0497	2020	5	2020m5	724	2020	8	2020m8	.1195175
20may2021	14	559.1	562.3	17.3	593.8	533.3	554.371	2021	5	2021m5	736	2021	8	2021m8	.0084582
19may2022	11	629.7	625.5	36.6	680	556.2	891.7636	2022	5	2022m5	748	2022	8	2022m8	.4161721
18may2023	14	781.2	787.3	28.3	850.9	752.9		2023	5	2023m5	760	2023	8	2023m8	
