NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
1	35.4	35.4		35.4	35.4	35.6933	.0082853
1	49.3	49.3		49.3	49.3	46.27	.0614604
1	105.9	105.9		105.9	105.9	49.06	.5367328
1	162.9	162.9		162.9	162.9	225.03	.3813996
1	366.6	366.6		366.6	366.6	243.15	.3367431
1	37.1	37.1		37.1	37.1	-57.04	2.537466
1	23.8	23.8		23.8	23.8	16.97	.2869748
1	41.5	41.5		41.5	41.5	46.155	.1121687
1	51.5	51.5		51.5	51.5	54.82	.064466
1	79.7	79.7		79.7	79.7	137.3195	.7229548
2	177.1	177.1	6.7	181.8	172.3	157.81	.1089215
2	250.9	250.9	2.8	252.8	248.9	137.0718	.4536796
1	155.4	155.4		155.4	155.4	37.83	.7565637
1	34.5	34.5		34.5	34.5	-88.54	3.566377
1	10.1	10.1		10.1	10.1	10.21	.0108911
1	68.1	68.1		68.1	68.1	92.91	.3643172
1	119.6	119.6		119.6	119.6	87.63	.2673077
1	120.4	120.4		120.4	120.4	122.06	.0137874
1	128	128		128	128	128.79	.0061719
1	135.6	135.6		135.6	135.6	120.7307	.1096556
1	131.4	131.4		131.4	131.4	120.9578	.0794688
1	248.5	248.5		248.5	248.5	308.37	.2409256
4	122.8	128.5	113.7	238.4	30.1	-445.77	4.630049
1	128.4	128.4		128.4	128.4	288.94	1.250311
2	233.9	233.9		407.7	60.2		9.142839
1	39.8	39.8		39.8	39.8	-73.16	2.838191
2	44.7	44.7	.5	45.1	44.4	51.52	.1525727
7	66.4	66.7	5.5	77.4	61	18.6556	.7190422
1	34.8	34.8		34.8	34.8	-163.11	5.687069
2	194.6	194.6	39.2	222.3	166.9		
1	76.2	76.2		76.2	76.2	107.56	.4115486
1	7.7	7.7		7.7	7.7	-111.9111	15.53391
1	74.9	74.9		74.9	74.9	-88.18	2.177303
1	77	77		77	77	57.34	.2553247
1	87.1	87.1		87.1	87.1	107.3851	.2328944
1	121.1	121.1		121.1	121.1	125.04	.0325351
1	143.5	143.5		143.5	143.5	119.7744	.1653352
1	30.4	30.4		30.4	30.4	28.71	.0555921
1	36	36		36	36	42.525	.18125
1	49.1	49.1		49.1	49.1	42.55	.1334012
1	23.5	23.5		23.5	23.5	2.597	.8894894
1	0	0		0	0	-1.5613	
4	29.4	28.1	5.5	33.3	20.5		
1	58.4	58.4		58.4	58.4		
1	42.2	42.2		42.2	42.2	4.17	.9011849
1	15.3	15.3		15.3	15.3	-12.0723	1.789039
1	4.4	4.4		4.4	4.4	6.57	.4931818
2	35.6	35.6	0	35.6	35.6	40.96	.1505618
1	44.5	44.5		44.5	44.5	47.17	.06
1	99.3	99.3		99.3	99.3	93.2422	.061005
1	97.5	97.5		97.5	97.5	55.35	.4323077
1	124.6	124.6		124.6	124.6		
3	43.4	45.8	5.1	51.6	42.2	61.58	.418894
4	82.2	83.8	3.1	88.4	82.2	60.5078	.2638954
3	50.8	49	9.8	57.8	38.4	47.0496	.0738268
3	59.6	58.8	2.5	60.7	56	49.94	.1620805
2	71.5	71.5	26.2	90.1	53	47.7004	.3328615
1	115.6	115.6		115.6	115.6	-42.3854	1.366656
1	10.2	10.2		10.2	10.2	-7.09	1.695098
1	15.7	15.7		15.7	15.7	-6.79	1.432484
1	71.5	71.5		71.5	71.5	68.5364	.041449
1	85.8	85.8		85.8	85.8	103.57	.2071096
2	88.4	88.4	21.4	103.6	73.3	74.5434	.1567489
2	88.7	88.7	6.3	93.1	84.2	94.39	.0641488
3	57.8	56.9	2.2	58.6	54.4	57.3805	.0072578
3	61.1	64.1	7.3	72.4	58.8	71.12	.1639934
1	129	129		129	129	74.92	.4192248
1	131	131		131	131	.36	.9972519
1	1.3	1.3		1.3	1.3	2.7	1.076923
1	84	84		84	84		
3	59.5	60.2	7.1	67.6	53.6	52.6295	.1154706
7	133.1	133.2	13.1	149.3	112.9	-25.8408	1.194146
2	10	10	.1	10.1	9.9		
1	4	4		4	4	3.4235	.144125
2	11.4	11.4	1	12.1	10.7	9.5533	.1619912
1	10.8	10.8		10.8	10.8	9.8469	.08825
1	6.7	6.7		6.7	6.7	4.1383	.3823433
1	7.5	7.5		7.5	7.5	5.4533	.2728933
1	11.1	11.1		11.1	11.1	11.855	.068018
3	12.6	13.4	1.6	15.3	12.4	11.83	.0611111
2	24.5	24.5	.1	24.6	24.4	22.87	.0665306
6	26.9	26.3	2.8	29.2	21.1		
5	28.6	28.2	1.2	29.3	26.1	24.09	.1576923
4	27.9	27.9	4.8	33	23	18.15	.3494624
3	30.9	30	1.9	31.3	27.9	8.77	.7161812
3	18.5	19.5	4.9	24.9	15.2	-44.78	3.420541
2	5.5	5.5	.4	5.8	5.3	9.0124	.6386182
2	10.9	10.9	6	15.2	6.7		
1	48.6	48.6		48.6	48.6	48.88	.0057613
2	62.9	62.9	2.8	64.9	61	67.17	.0678855
1	70.8	70.8		70.8	70.8	69.69	.015678
3	93.1	95.6	4.3	100.6	93.1	107.73	.1571429
3	121.8	121.6	6.5	128	115	76.29	.3736453
1							.8187838
2	85.7	85.7	4.2	88.7	82.7	91.3692	.0661517
3	100.7	96.6	15.2	109.3	79.9	81.1019	.1946187
4	93.9	94.1	1.6	96.1	92.4	99.3107	.0576219
4	117	109.8	19.4	123.9	81.1	77.6199	.3365821
3	48.7	53.3	12.4	67.3	43.9	110.0912	1.2606
1	58.5	58.5		58.5	58.5	58.7175	.0037179
2	66.7	66.7	2.1	68.2	65.3	44.98	.3256372
1	102.1	102.1		102.1	102.1	71.62	.2985308
2	73.4	73.4	21.6	88.7	58.2	77.44	.0550409
2	73.7	73.7	9.9	80.8	66.7		
6	212.5	212.5	9.8	228.2	200	30.245	.8576706
10	179.1	170.9	43.1	225.4	98.1	20.7775	.8839894
10	90.6	84	51.4	144.4	-37.8	37.37	.5875276
10	106	121.3	58	233.1	62.5	379.3625	2.578892
11	375.1	365.1	106.1	523.9	143.2	402.4575	.0729339
