NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
1	19.9	19.9		19.9	19.9	17.92	.0994975
1	25.1	25.1		25.1	25.1	21.7233	.1345299
1	35.4	35.4		35.4	35.4	35.6933	.0082853
1	23.4	23.4		23.4	23.4	46.65	.9935898
1	29.9	29.9		29.9	29.9	58.323	.950602
1	2.7	2.7		2.7	2.7	5.93	1.196296
1	41.5	41.5		41.5	41.5	46.155	.1121687
2	115.7	115.7	19.1	129.2	102.2	137.3195	.1868583
1	206.6	206.6		206.6	206.6	157.81	.2361568
2	237	237	12.7	246	228	137.0718	.421638
1	126.7	126.7		126.7	126.7	37.83	.7014207
1	0	0		0	0	-88.54	
1	19.1	19.1		19.1	19.1	10.21	.465445
1	106.8	106.8		106.8	106.8	98.09	.0815543
1	117.4	117.4		117.4	117.4	87.63	.2535775
1	119.9	119.9		119.9	119.9	122.06	.018015
1	127.5	127.5		127.5	127.5	128.79	.0101176
1	156.7	156.7		156.7	156.7	156.3321	
2	284.3	284.3	3.4	286.7	281.9	308.37	.0846641
1	-109.8	-109.8		-109.8	-109.8	-445.77	3.059836
3	179.5	236.5	110	363.3	166.7	288.94	.6096936
2							.5955518
3	45.8	46	.4	46.4	45.7	51.52	.1248908
6	62.3	62.6	2.5	66.2	59.1	18.6556	.7005522
1	4.3	4.3		4.3	4.3	4.12	.0418605
1	3.1	3.1		3.1	3.1	-4.63	2.493548
1	71.3	71.3		71.3	71.3	19.05	.7328191
1	74.9	74.9		74.9	74.9	-88.18	2.177303
1	96.8	96.8		96.8	96.8	107.3851	.1093502
1	125	125		125	125	125.04	
1	139.7	139.7		139.7	139.7	119.7744	.1426314
1	32	32		32	32	28.71	.1028125
3	40.1	42.2	3.7	46.4	40	42.525	.0604738
2	44.6	44.6	2	46	43.2	42.55	.0459641
1	10.1	10.1		10.1	10.1	2.597	.7428713
1	0	0		0	0	-1.5613	
2	25.6	25.6	1.1	26.4	24.9		
1	-19.6	-19.6		-19.6	-19.6	-12.0723	.3840663
1	35.6	35.6		35.6	35.6	40.96	.1505618
2	64.8	64.8	4	67.7	62	66.47	.0257716
1	85.8	85.8		85.8	85.8	93.2422	.0867389
1	70	70		70	70	55.35	.2092857
3	56.7	71.7	29.4	105.6	52.8	61.58	.086067
4	76.7	73.7	10.1	82.2	59	60.5078	.2111108
2	41.6	41.6	4.5	44.8	38.4	47.0496	.131
3	53	51.6	4	54.7	47.1	49.94	.0577358
1	55.3	55.3		55.3	55.3	47.7004	.137425
1	88.6	88.6		88.6	88.6	-42.3854	1.478391
1	43.3	43.3		43.3	43.3	-7.09	1.163741
1	4.8	4.8		4.8	4.8	18.5	2.854167
2	81.6	81.6	12.9	90.7	72.5	103.57	.2692402
1	60.1	60.1		60.1	60.1	74.5434	.2403228
1	116.7	116.7		116.7	116.7	94.39	.191174
1	32.4	32.4		32.4	32.4	33.5	.0339506
2	42.5	42.5	4.7	45.8	39.1	43.81	.0308235
3	57.8	59	5	64.4	54.7	57.3805	.0072578
4	63.2	63.5	4.1	68.7	58.8	71.12	.1253165
2	128.4	128.4	4.2	131.4	125.5	119.0267	.0730008
1	110	110		110	110	74.92	.3189091
1	74	74		74	74	29.6208	.5997189
1	122.6	122.6		122.6	122.6	122.81	
1	72.1	72.1		72.1	72.1	52.2223	.2756962
1	50.9	50.9		50.9	50.9	52.6295	.0339784
1						-410.5958	.0290948
6	183.1	182	25.4	208.6	145.7	-70.78	1.386565
7	127.1	128.8	28.7	175.1	81.7	-25.8408	1.203311
3	475.2	486.1	44.1	534.7	448.5	587.02	.2353114
2	6.9	6.9	.6	7.4	6.5	3.6717	.4678696
1	3.4	3.4		3.4	3.4	3.4235	.0069118
2	9.5	9.5	0	9.5	9.5	9.5533	.0056105
1	8.9	8.9		8.9	8.9	9.8469	.1063933
1	3.5	3.5		3.5	3.5	4.1383	.1823714
1	8	8		8	8	5.4533	.3183375
1	14.2	14.2		14.2	14.2	11.855	.1651409
2	10.4	10.4	.3	10.6	10.2	11.83	.1375
5	26.5	30.4	10.9	49.6	22.7	22.87	.1369811
5	25.3	24.6	2.1	26.1	21.1		
3	1.2	.9	.8	1.5	0	4.12	2.433333
5	23.6	24.5	2.2	28.5	23.4	24.09	.0207627
3	20.5	20.8	3	23.9	17.9	18.15	.1146341
3	13	11.6	8.6	19.4	2.4	8.77	.3253846
4	15.5	15.7	.5	16.4	15.2	-44.78	3.889032
2	-.6	-.6	.4	-.3	-.8	9.0124	16.02067
1	45.6	45.6		45.6	45.6	48.88	.0719298
1	63.1	63.1		63.1	63.1	67.17	.0645008
2	66.6	66.6	3.7	69.2	64	69.69	.0463964
3	88.3	91	8.3	100.4	84.4	107.73	.2200453
1	120.8	120.8		120.8	120.8	76.29	.3684603
2	96.1	96.1	1.6	97.3	95	102.711	.0687929
3	82.7	82.6	.5	83	82	91.3692	.1048271
3	97	99.4	4.6	104.7	96.6	81.1019	.1638979
4	101.5	100.7	6.3	107.5	92.4	99.3107	.0215695
3	103.4	98.6	15.6	111.2	81.1	77.6199	.249324
2	76	76	31.7	98.5	53.6	110.0912	.4485684
1	50.7	50.7		50.7	50.7	58.7175	.1581361
1	59.4	59.4		59.4	59.4	44.98	.2427609
1	69.1	69.1		69.1	69.1	71.62	.0364689
2	68.6	68.6	14.7	79	58.2	77.44	.128863
2	67	67	5.5	70.9	63.1		
4	220.6	223.9	35.5	267.1	187.5	317.1525	.4376813
9	154.3	150.6	52.6	212.6	63.3	30.245	.8039857
10	126.6	152.1	56.6	275.6	98.1	20.7775	.8358808
6	37.5	39.3	9.6	54.4	25	37.37	.0034667
6	207.9	209.5	27.8	260	181.3	379.3625	.8247355
10	356.5	369.3	41.7	437.5	294.4	402.4575	.128913
10	190.9	195	43.1	268.8	136.4	313.6275	.642889
10	281.2	297.9	62.8	401.4	217	226.9	.193101
6				-19			.5078672
6	84.4	5.9	132.3	105	-168.8	-225.03	3.666232
7	436.3	422.3	84.9	562.7	303.8	551.19	.263328
6	560.8	574.3	68.7	697.3	507.7	845.17	.5070792
8	590.1	626	131	861.4	433.8	401.63	.3193865
8	333.1	341.5	78.3	475.1	245.4	-76.31	1.22909
9	6.2	-4.5	89.6	100	-141.3	117.4691	17.94663
8	753.5	751.6	88.7	916.1	601.1	940.1501	.2477108
