NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
1	35.4	35.4		35.4	35.4	35.6933	.0082853
1	49.3	49.3		49.3	49.3	46.27	.0614604
1	105.9	105.9		105.9	105.9	49.06	.5367328
1	162.9	162.9		162.9	162.9	225.03	.3813996
1	366.6	366.6		366.6	366.6	243.15	.3367431
1	37.1	37.1		37.1	37.1	-57.04	2.537466
1	23.8	23.8		23.8	23.8	16.97	.2869748
1	41.5	41.5		41.5	41.5	46.155	.1121687
1	51.5	51.5		51.5	51.5	54.82	.064466
1	79.7	79.7		79.7	79.7	137.3195	.7229548
2	177.1	177.1	6.7	181.8	172.3	157.81	.1089215
2	250.9	250.9	2.8	252.8	248.9	137.0718	.4536796
2	141.1	141.1	20.3	155.4	126.7	37.83	.7318923
1	34.5	34.5		34.5	34.5	-88.54	3.566377
1	10.1	10.1		10.1	10.1	10.21	.0108911
1	68.1	68.1		68.1	68.1	92.91	.3643172
1	117.6	117.6		117.6	117.6	87.63	.2548469
1	120.1	120.1		120.1	120.1	122.06	.0163197
1	128	128		128	128	128.79	.0061719
1	135.6	135.6		135.6	135.6	120.7307	.1096556
1	248.5	248.5		248.5	248.5	308.37	.2409256
4	122.8	128.5	113.7	238.4	30.1	-445.77	4.630049
2	211.6	211.6	63.5	256.5	166.7	288.94	.365501
1							2.541484
2	44.7	44.7	.5	45.1	44.4	51.52	.1525727
7	66.4	66.4	5.9	77.4	58.3	18.6556	.7190422
1	34.8	34.8		34.8	34.8	-163.11	5.687069
1	4.3	4.3		4.3	4.3	4.12	.0418605
2	194.6	194.6	39.2	222.3	166.9		
1	76.2	76.2		76.2	76.2	107.56	.4115486
1	7.7	7.7		7.7	7.7	-111.9111	15.53391
1	74.9	74.9		74.9	74.9	-88.18	2.177303
1	79.8	79.8		79.8	79.8	55.06	.3100251
1	94.8	94.8		94.8	94.8	107.3851	.1327542
1	121.1	121.1		121.1	121.1	125.04	.0325351
1	143.5	143.5		143.5	143.5	119.7744	.1653352
1	30.4	30.4		30.4	30.4	28.71	.0555921
1	36	36		36	36	42.525	.18125
2	46.2	46.2	4.2	49.1	43.2	42.55	.0790043
1	21.2	21.2		21.2	21.2	2.597	.8775
1	0	0		0	0	-1.5613	
5	28.2	28.6	5.7	34.6	20.5		
1	58.4	58.4		58.4	58.4		
1	42.2	42.2		42.2	42.2	4.17	.9011849
1	15.3	15.3		15.3	15.3	-12.0723	1.789039
1	4.4	4.4		4.4	4.4	6.57	.4931818
2	35.6	35.6	0	35.6	35.6	40.96	.1505618
1	44.5	44.5		44.5	44.5	47.17	.06
2	92.9	92.9	9	99.3	86.6	93.2422	.0036835
2	83.7	83.7	19.5	97.5	70	55.35	.3387097
1	124.6	124.6		124.6	124.6		
3	43.4	45.9	5.5	52.2	42	61.58	.418894
4	82.2	83.3	3.5	88.4	80.4	60.5078	.2638954
3	44.8	44.7	6.2	50.8	38.4	47.0496	.0502143
3	56	56.2	3.3	59.6	53	49.94	.1082143
1	53	53		53	53	47.7004	.0999925
1	115.6	115.6		115.6	115.6	-42.3854	1.366656
1	10.2	10.2		10.2	10.2	-7.09	1.695098
1	22.8	22.8		22.8	22.8	18.5	.1885965
1	15.7	15.7		15.7	15.7	-6.79	1.432484
1	71.5	71.5		71.5	71.5	68.5364	.041449
2	82.2	82.2	12.1	90.7	73.6	103.57	.2599757
2	66.8	66.8	9.3	73.3	60.2	74.5434	.1159192
2	81.2	81.2	16.9	93.1	69.2	94.39	.1624384
1	36.3	36.3		36.3	36.3	43.81	.2068871
3	57.8	56.7	2	57.9	54.4	57.3805	.0072578
4	60.6	62.8	6.7	72.4	57.6	71.12	.1735974
1	129	129		129	129	74.92	.4192248
1	1.3	1.3		1.3	1.3	2.7	1.076923
3	59.5	59.3	8.4	67.6	50.9	52.6295	.1154706
7	145.1	141.8	18.1	164.6	112.9	-25.8408	1.17809
2	10	10	.1	10.1	9.9		
1	3.6	3.6		3.6	3.6		
1	4	4		4	4	3.4235	.144125
2	11.4	11.4	1	12.1	10.7	9.5533	.1619912
1	10.8	10.8		10.8	10.8	9.8469	.08825
1	6.7	6.7		6.7	6.7	4.1383	.3823433
1	7.5	7.5		7.5	7.5	5.4533	.2728933
1	11.1	11.1		11.1	11.1	11.855	.068018
3	12.6	13.4	1.6	15.3	12.4	11.83	.0611111
4	24.5	30.6	12.6	49.6	24	22.87	.0665306
6	26.2	25.9	2.7	29.2	21.1		
5	28.6	27.4	3	29.3	22.1	24.09	.1576923
4	24.6	25.8	3.6	31.1	23	18.15	.2621951
2	26.8	26.8	1.6	27.9	25.7	8.77	.6727612
3	18.5	19.1	5.5	24.9	13.9	-44.78	3.420541
2	5.5	5.5	.4	5.8	5.3	9.0124	.6386182
2	10.9	10.9	6	15.2	6.7		
1	48.6	48.6		48.6	48.6	48.88	.0057613
2	62	62	1.5	63.1	61	67.17	.0833871
1	70.8	70.8		70.8	70.8	69.69	.015678
3	92.4	94.9	4.7	100.4	92	107.73	.1659091
3	121	121.3	6.5	128	115	76.29	.3695041
2	85.7	85.7	4.2	88.7	82.7	91.3692	.0661517
3	100.7	96.6	15.2	109.3	79.9	81.1019	.1946187
4	93.9	94.1	1.6	96.1	92.4	99.3107	.0576219
4	117	109.8	19.4	123.9	81.1	77.6199	.3365821
4	51.2	53.4	10.1	67.3	43.9	110.0912	1.150219
1	58.5	58.5		58.5	58.5	58.7175	.0037179
1	65.3	65.3		65.3	65.3	44.98	.3111792
1	102.1	102.1		102.1	102.1	71.62	.2985308
2	73.4	73.4	21.6	88.7	58.2	77.44	.0550409
2	73.7	73.7	9.9	80.8	66.7		
5	216.7	213.3	11.1	228.2	200	30.245	.8604292
6	183.4	178.7	55.8	257.6	98.1	20.7775	.8867094
9	106.3	89.6	54.7	144.4	-37.8	37.37	.6484478
10	142.2	142.3	58.8	233.1	62.5	379.3625	1.667809
11	375.1	359.8	111.8	540.1	143.2	402.4575	.0729339
