STATPERS	NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	syear	sm	sym	month	eyear	em	eym	FE
15jun2000	1	68	68		68	68		2000	6	2000m6	485	2000	8	2000m8	
20jun2002	10	96.2	94.1	5.5	97.4	79.8	89.8466	2002	6	2002m6	509	2002	8	2002m8	.0660437
19jun2003	14	56	56.4	4	66.2	50.3	67.6833	2003	6	2003m6	521	2003	8	2003m8	.2086304
17jun2004	16	98.4	101.2	7.6	121.3	93	101.6399	2004	6	2004m6	533	2004	8	2004m8	.0329258
16jun2005	13	114	113.9	4	119.4	106.5	110.6632	2005	6	2005m6	545	2005	8	2005m8	.0292702
15jun2006	14	131.2	130.8	5.1	136.9	119.1	132.4599	2006	6	2006m6	557	2006	8	2006m8	.0096029
14jun2007	15	122.7	122.6	2.7	128.3	117.5	103.9932	2007	6	2007m6	569	2007	8	2007m8	.1524597
19jun2008	16	135.5	136	3.3	141.7	128.5	142.4599	2008	6	2008m6	581	2008	8	2008m8	.0513646
18jun2009	20	179.3	179.7	6.2	196.4	172.2	162.9865	2009	6	2009m6	593	2009	8	2009m8	.0909844
17jun2010	16	227.3	228.4	7.2	238.4	219.4	201.9965	2010	6	2010m6	605	2010	8	2010m8	.111322
16jun2011	21	196.5	193.9	9.2	205.3	168.3	177.9764	2011	6	2011m6	617	2011	8	2011m8	.0942677
14jun2012	25	264.9	261.6	12.3	276.7	229.2	234.5398	2012	6	2012m6	629	2012	8	2012m8	.11461
20jun2013	20	300.3	299.2	22.5	346.9	234.5	295.7064	2013	6	2013m6	641	2013	8	2013m8	.0152967
19jun2014	22	287.9	293.3	11.4	330.3	278.7	243.8364	2014	6	2014m6	653	2014	8	2014m8	.1530517
18jun2015	21	433.5	432.9	27.1	483	373.3	359.8063	2015	6	2015m6	665	2015	8	2015m8	.169997
16jun2016	17	194	203.8	38.5	346.3	173.3	157.1032	2016	6	2016m6	677	2016	8	2016m8	.1901897
15jun2017	14	372.6	371.1	29.7	415.3	328	389.8996	2017	6	2017m6	689	2017	8	2017m8	.0464294
14jun2018	13	449.3	452.7	20.9	496.1	425	505.9028	2018	6	2018m6	701	2018	8	2018m8	.12598
20jun2019	15	546.6	546.4	14.1	575.5	517.8	531.0661	2019	6	2019m6	713	2019	8	2019m8	.0284191
18jun2020	16	321.7	329.6	62.1	528.8	253.3	295.0497	2020	6	2020m6	725	2020	8	2020m8	.0828421
17jun2021	12	551.7	545.2	26.5	581.5	478.1	554.371	2021	6	2021m6	737	2021	8	2021m8	.0048414
16jun2022	11	637.8	628.7	42.6	680.6	556.2	891.7636	2022	6	2022m6	749	2022	8	2022m8	.3981869
15jun2023	14	789	796.8	23	850.9	768.1		2023	6	2023m6	761	2023	8	2023m8	
