STATPERS	NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	syear	sm	sym	month	eyear	em	eym	FE
19dec2002	18	70.3	76.1	16.4	115.6	61.3	67.6833	2002	12	2002m12	515	2003	8	2003m8	.0372219
18dec2003	14	107.9	106.5	8.8	119.6	80.4	101.6399	2003	12	2003m12	527	2004	8	2004m8	.0580176
16dec2004	15	133.7	131.7	6.4	137.6	113.4	110.6632	2004	12	2004m12	539	2005	8	2005m8	.1723022
15dec2005	13	124.5	124.8	2.9	130.5	119.1	132.4599	2005	12	2005m12	551	2006	8	2006m8	.0639349
14dec2006	13	145.6	145.9	3	150.3	139.8	103.9932	2006	12	2006m12	563	2007	8	2007m8	.285761
20dec2007	15	125.7	124.5	3.7	130.9	117.8	142.4599	2007	12	2007m12	575	2008	8	2008m8	.1333325
18dec2008	17	162.6	168.4	13.1	189.8	154	162.9865	2008	12	2008m12	587	2009	8	2009m8	.002377
17dec2009	17	222.7	224.6	16.4	252	203	201.9965	2009	12	2009m12	599	2010	8	2010m8	.0929659
16dec2010	18	171.9	172.9	9.2	200.2	159.7	177.9764	2010	12	2010m12	611	2011	8	2011m8	.0353485
15dec2011	22	227.4	225.8	11	250.1	198.1	234.5398	2011	12	2011m12	623	2012	8	2012m8	.0313975
20dec2012	21	276.4	273.1	13.9	297.5	233.7	295.7064	2012	12	2012m12	635	2013	8	2013m8	.0698495
19dec2013	23	301.7	307.8	25.1	366.7	233.2	243.8364	2013	12	2013m12	647	2014	8	2014m8	.1917918
18dec2014	21	352.9	355.3	27	398.7	304.8	359.8063	2014	12	2014m12	659	2015	8	2015m8	.0195701
17dec2015	19	402.2	408.3	47.5	504.2	300	157.1032	2015	12	2015m12	671	2016	8	2016m8	.6093904
15dec2016	18	349.6	348.7	26.9	393.9	285	389.8996	2016	12	2016m12	683	2017	8	2017m8	.1152735
14dec2017	17	423.5	413.8	26.3	450.4	340.7	505.9028	2017	12	2017m12	695	2018	8	2018m8	.1945757
20dec2018	16	553.7	558.1	30.4	654.4	525.4	531.0661	2018	12	2018m12	707	2019	8	2019m8	.0408776
19dec2019	14	606.3	604.1	30.7	656.7	528.9	295.0497	2019	12	2019m12	719	2020	8	2020m8	.5133602
17dec2020	15	559.9	541.9	76.6	613.6	325.2	554.371	2020	12	2020m12	731	2021	8	2021m8	.009875
16dec2021	11	597.3	610.9	27	662.6	583.4	891.7636	2021	12	2021m12	743	2022	8	2022m8	.4929911
15dec2022	13	766.5	774.1	31.2	847.4	720.5		2022	12	2022m12	755	2023	8	2023m8	
