NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
1	19.9	19.9		19.9	19.9	17.92	.0994975
1	25.1	25.1		25.1	25.1	21.7233	.1345299
1	35.4	35.4		35.4	35.4	35.6933	.0082853
1	173.3	173.3		173.3	173.3	225.03	.2984997
1	23.4	23.4		23.4	23.4	46.65	.9935898
1	29.9	29.9		29.9	29.9	58.323	.950602
1	41.5	41.5		41.5	41.5	46.155	.1121687
2	115.7	115.7	19.1	129.2	102.2	137.3195	.1868583
1	206.6	206.6		206.6	206.6	157.81	.2361568
2	237	237	12.7	246	228	137.0718	.421638
1	0	0		0	0	-88.54	
1	19.1	19.1		19.1	19.1	10.21	.465445
1	106.8	106.8		106.8	106.8	98.09	.0815543
1	113	113		113	113	87.63	.2245133
1	140.5	140.5		140.5	140.5	122.06	.1312456
1	127.5	127.5		127.5	127.5	128.79	.0101176
1	114.9	114.9		114.9	114.9	120.7307	.0507459
1	156.7	156.7		156.7	156.7	156.3321	
3	286.7	299	25.6	328.4	281.9	308.37	.0755842
1						-445.77	.0275934
2	334.8	334.8	8.6	340.9	328.7	288.94	.1369773
2							.5955518
3	45.8	43.3	4.9	46.4	37.7	51.52	.1248908
6	60.2	55.8	8.6	63	44.7	18.6556	.6901063
1	3.1	3.1		3.1	3.1	-4.63	2.493548
1	71.3	71.3		71.3	71.3	19.05	.7328191
1	74.9	74.9		74.9	74.9	-88.18	2.177303
1	69.9	69.9		69.9	69.9	55.06	.2123033
1	58.6	58.6		58.6	58.6	76.66	.3081911
1	96.8	96.8		96.8	96.8	107.3851	.1093502
1	125	125		125	125	125.04	
1	32	32		32	32	28.71	.1028125
3	40.1	42.2	3.7	46.4	40	42.525	.0604738
2	44.2	44.2	2.5	46	42.4	42.55	.0373303
1	2.2	2.2		2.2	2.2	2.597	.1804546
1	0	0		0	0	-1.5613	
1	-19.6	-19.6		-19.6	-19.6	-12.0723	.3840663
1	35.6	35.6		35.6	35.6	40.96	.1505618
2	64.8	64.8	4	67.7	62	66.47	.0257716
1	81.5	81.5		81.5	81.5	93.2422	.1440761
1	70	70		70	70	55.35	.2092857
3	56.7	71.7	29.4	105.6	52.8	61.58	.086067
4	67.5	67.7	13.6	82.2	53.6	60.5078	.1035881
2	41.6	41.6	4.5	44.8	38.4	47.0496	.131
3	49.7	49.9	3	53	47.1	49.94	.004829
1	46.4	46.4		46.4	46.4	47.7004	.0280259
1	88.6	88.6		88.6	88.6	-42.3854	1.478391
1	43.3	43.3		43.3	43.3	-7.09	1.163741
1	4.8	4.8		4.8	4.8	18.5	2.854167
2	72.6	72.6	.1	72.7	72.5	103.57	.426584
1	60.1	60.1		60.1	60.1	74.5434	.2403228
1	116.7	116.7		116.7	116.7	94.39	.191174
1	32.4	32.4		32.4	32.4	33.5	.0339506
2	42.5	42.5	4.7	45.8	39.1	43.81	.0308235
4	61.1	64.3	11.5	80.5	54.7	57.3805	.0608756
4	63.5	63.6	4.1	68.7	58.8	71.12	.12
2	128.4	128.4	4.2	131.4	125.5	119.0267	.0730008
1	110	110		110	110	74.92	.3189091
1	29.3	29.3		29.3	29.3	29.6208	.0109488
1	52.7	52.7		52.7	52.7	40.48	.2318786
1	111.9	111.9		111.9	111.9	122.81	.0974978
1	72.1	72.1		72.1	72.1	52.2223	.2756962
1						-410.5958	.0290948
6	168.4	177.9	26.1	213.1	145.7	-70.78	1.420309
7	81.7	103.9	44.3	175.1	59.2	-25.8408	1.316289
4	487.1	489.4	36.6	534.7	448.5	587.02	.2051324
1	107.5	107.5		107.5	107.5	132.6955	.2343767
2	6.6	6.6	1.1	7.4	5.9	3.6717	.4436818
1	3.4	3.4		3.4	3.4	3.4235	.0069118
2	9.5	9.5	0	9.5	9.5	9.5533	.0056105
1	8.9	8.9		8.9	8.9	9.8469	.1063933
1	3.5	3.5		3.5	3.5	4.1383	.1823714
1	8	8		8	8	5.4533	.3183375
1	14.2	14.2		14.2	14.2	11.855	.1651409
2	10.1	10.1	.1	10.2	10.1	11.83	.1712871
5	24.2	24.7	1.9	27.4	22.7	22.87	.0549587
5	24.1	23.1	2.1	25.3	20.7		
4	1.2	1	.7	1.5	0	4.12	2.433333
5	23.6	23.2	.7	23.6	21.9	24.09	.0207627
3	20.3	20.7	3	23.9	17.9	18.15	.1059113
3	19.4	14.8	10.9	22.6	2.4	8.77	.5479382
4	15.5	15.7	.5	16.4	15.2	-44.78	3.889032
1	-.8	-.8		-.8	-.8	9.0124	12.2655
1	47.8	47.8		47.8	47.8	48.88	.0225941
1	63	63		63	63	67.17	.0661905
2	66.6	66.6	3.7	69.2	64	69.69	.0463964
3	88.3	91	8.3	100.4	84.4	107.73	.2200453
1	64.1	64.1		64.1	64.1	76.29	.1901716
1							.1759636
2	97.6	97.6	3.6	100.1	95	102.711	.0523668
3	82.7	82.6	.5	83	82	91.3692	.1048271
3	95	93.2	4.6	96.6	88	81.1019	.1462958
3	100.9	100.2	7.6	107.5	92.4	99.3107	.0157512
4	100.7	98.4	12.8	111.2	81.1	77.6199	.2291966
1	98.4	98.4		98.4	98.4	110.0912	.118813
2	52.1	52.1	2.1	53.6	50.7	58.7175	.1270154
1	59.4	59.4		59.4	59.4	44.98	.2427609
1	69.1	69.1		69.1	69.1	71.62	.0364689
2	68.6	68.6	14.7	79	58.2	77.44	.128863
2	67	67	5.5	70.9	63.1		
5	228.4	224.8	30.8	267.1	187.5	317.1525	.3885836
8	123.4	128.4	70.8	212.6	53.4	30.245	.7549028
9	126.3	138	28.8	207.9	112.5	20.7775	.8354909
6	37.5	42.4	13.6	62.5	25	37.37	.0034667
7	250.1	239.4	29.1	275.1	204.4	379.3625	.5168433
10	348.8	346.4	24.4	387.6	290.7	402.4575	.1538346
10	253.5	254.1	26.5	293.8	208.2	313.6275	.2371894
10	263.1	283.5	61.2	401.4	217	226.9	.1375903
9			99.8				.4077036
5	-168.8	-164.6	68.7	-56.3		-225.03	.3331161
7	456.4	454.9	59	562.7	363.2	551.19	.2076906
6	726.3	736.4	102.8	851.2	576.8	845.17	.1636651
8	538.6	535	135.9	729.1	324.3	401.63	.2543075
4	297.9	289.3	27.9	312.4	248.7	-76.31	1.25616
10	73.2	64.1	68.4	156.4	-90.4	117.4691	.6047691
8	759.4	796.2	101.7	990.3	696.7	940.1501	.238017
