NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
8	420.4	405.8	46.5	475.1	321.5	-76.31	1.181518
9	100	89.6	120.6	319.6	-90.4	117.4691	.174691
8	459.6	497.6	154.8	761.6	327.6	940.1501	1.045583
7	936.5	902.5	81.6	1006.2	765.8	853.3716	.088765
1	141.4	141.4		141.4	141.4	74.075	.4761315
1	76.6	76.6		76.6	76.6	99.0782	.2934491
1	31	31		31	31	-124.21	5.006774
1	33	33		33	33	35.95	.0893939
1	40.2	40.2		40.2	40.2	42.15	.0485075
1	44.8	44.8		44.8	44.8	45.9297	.0252165
3	47.6	47.5	1	48.4	46.4	37.8877	.2040399
2	-1	-1	12.9	8.1	-10.1	-17.57	16.57
2	18.9	18.9	8.2	24.7	13.1	22.19	.1740741
1	37.1	37.1		37.1	37.1	37.7754	.0182049
2	99.8	99.8	3.5	102.3	97.4	101.54	.0174349
3	107.3	109.3	10.2	120.3	100.2		
1	89	89		89	89	98.35	.1050562
2	52.6	52.6	2	54	51.2	48.51	.0777567
1	74	74		74	74	97.8	.3216216
2	77.5	77.5	3.6	80	74.9	71.18	.0815484
1	75	75		75	75	66.9899	.1068013
1	61.4	61.4		61.4	61.4	102.48	.6690554
2	97.2	97.2	7.8	102.7	91.7	120.66	.241358
2	102.1	102.1	.7	102.6	101.6	120.88	.1839373
2	126.5	126.5	10.4	133.8	119.1	132.43	.0468775
3	122.5	122.2	2.5	124.5	119.6	128.7	.0506122
4	132.5	132.4	1.1	133.5	131	133.65	.0086792
3	112.1	110.7	5	114.8	105.1	94.65	.1556646
3	105.2	97.3	13.6	105.2	81.6	100.07	.0487643
4	80.8	81	5.5	86.9	75.5	99.6303	.2330483
3	76	81.6	10.9	94.2	74.7	77.406	.0185
1	110.1	110.1		110.1	110.1	103.73	.0578565
1	104.5	104.5		104.5	104.5	99.71	.0458373
1	82.6	82.6		82.6	82.6		
1	117.6	117.6		117.6	117.6	55.04	.5319728
1	26.2	26.2		26.2	26.2	-248.7165	10.493
1	42.7	42.7		42.7	42.7		
2							4.422642
1	1110	1110		1110	1110		5.780829
1	548.9	548.9		548.9	548.9		
2	218.7	218.7	72.9	270.2	167.1	330.81	.51262
1	438.6	438.6		438.6	438.6	402.61	.0820565
1	435.8	435.8		435.8	435.8	435.27	
2	477.5	477.5	46.2	510.2	444.9		1.15022
4	1218.3	1236.3	112.5	1389	1119.5		.0759297
4	1428.2	1415.4	48.4	1458.9	1346.4		.0564907
2	25.9	25.9	.3	26.1	25.7	24.6671	.0476023
1	29.3	29.3		29.3	29.3	19.3128	.3408601
1	12.2	12.2		12.2	12.2	10.9827	.0997787
3	20.5	21.2	2.3	23.8	19.3	19.6685	.040561
2	22.2	22.2	1	22.9	21.5	20.0144	.0984505
1	23.2	23.2		23.2	23.2	30.8075	.3279095
1	44.2	44.2		44.2	44.2	46.3575	.0488122
1	51.1	51.1		51.1	51.1	57.115	.1177104
2	65.5	65.5	3.5	68	63.1	59.225	.0958015
4	52.2	52.1	2.8	55.2	48.9	55.5	.0632184
2	52.9	52.9	1.6	54	51.8	47.43	.1034026
1	46.3	46.3		46.3	46.3	65	.4038877
1	146.8	146.8		146.8	146.8	145.67	.0076975
2	150.3	150.3	2.1	151.7	148.8	160.74	.0694611
2	160.8	160.8	2.5	162.6	159	147.52	.0825871
2	77.3	77.3	17.4	89.6	65	89.48	.1575679
1	86.7	86.7		86.7	86.7	94.93	.094925
1	212.6	212.6		212.6	212.6	218	.0253998
1	226.7	226.7		226.7	226.7	168.07	.2586237
1	227	227		227	227	164.14	.2769163
1	186.4	186.4		186.4	186.4	-49.68	1.266524
2							
1	2	2		2	2	2.1638	.0819
2	3.2	3.2	.4	3.4	2.9	3.0606	.0435625
1	3.8	3.8		3.8	3.8	2.882	.241579
2	3.3	3.3	.1	3.4	3.2	2.4917	.2449394
2	3.7	3.7	.1	3.8	3.6	3.7562	.0151892
4	4.8	4.9	.2	5.2	4.8	5.0321	.0483542
4	6	6	.3	6.4	5.7	6.4833	.08055
3	8.3	8.1	.3	8.3	7.8	10.4537	.2594819
7	12.4	12.5	.8	13.6	11.5	12.3475	.0042339
6	15.7	16	1.2	18.2	14.8	15.13	.0363057
8	20.9	21	1.4	23.1	19.4	19.3025	.0764354
8	24.9	25.1	1.7	27.8	23	25.41	.0204819
7	29.1	28.9	1.5	31.1	26.3	27.565	.0527491
7	32.8	33	2.8	38.5	29.4	31.65	.035061
5	35.5	35.8	3	39.6	32.7	34.7	.0225352
5	40.6	41.3	2.2	44.5	39.3	34.6019	.1477365
5	38.4	38.8	.9	40.4	38.1	29.76	.225
2	48.6	48.6	1.8	49.9	47.4	57.18	.1765432
2	43.5	43.5	3.2	45.8	41.3	44.69	.0273563
1	95.8	95.8		95.8	95.8	75.21	.2149269
1	37.1	37.1		37.1	37.1	31.51	.1506739
1	38.4	38.4		38.4	38.4	39.0831	.0177891
1	25.1	25.1		25.1	25.1	31.145	.2408367
1	37.9	37.9		37.9	37.9	8.08	.7868074
4	170.8	173.2	12.8	190.6	160.7	200.47	.1737119
3	224.3	224.1	3	227	221	236.09	.0525635
7	221.9	221.8	9.8	239.1	210.9	92.21	.5844525
9	55.1	55.6	4.3	65.7	52.5	25.69	.5337568
12	37.2	37.6	6.1	47.3	21	28.7399	.227422
11	78.8	78.6	8.8	94	63.1	92.3799	.1723338
12	101.8	102.9	3.4	108.7	99.7	101.61	
11	116.5	118.6	7.7	136.3	110.1	140.7	.2077253
9	159.2	157.8	6.2	167.6	148.4	201.28	.2643216
11	211.4	212.8	8.6	233.7	198.4	246.42	.1656575
9	225.9	229.7	9.3	243.5	216.3	245.1	.0849934
10	234.4	234.1	4.6	240.4	226.7	240.89	.0276877
11	253.4	254	6.7	269.2	244.2	245.99	.0292423
10	254.9	255.3	5.6	267.4	248.3	267.21	.0482934
12	187.2	188	12.6	209.1	170.8	232.53	.2421474
14	278.3	282.2	16.5	314.8	259.2	307.81	.1060366
10	332.2	335.8	11.2	359.3	322.3	365.26	.0995184
2	46.3	46.3	.6	46.8	45.9	44.9	.0302376
4	70.4	70.8	4.2	76.1	66.2	81.02	.1508523
4	92.6	92.9	2.4	95.9	90.6	91.09	.0163067
1	95.9	95.9		95.9	95.9	96.1995	.003123
3	115	115.7	3.9	119.9	112.1	106.67	.0724348
3	73	70.8	8.9	78.4	61	44.73	.3872603
3	91.5	91.2	7.3	98.3	83.7	96.0182	.0493792
2	117.8	117.8	5	121.4	114.3	124.57	.0574703
1							
1							
1	16.1	16.1		16.1	16.1	20.08	.247205
1	23.9	23.9		23.9	23.9	18.47	.2271966
1	211	211		211	211	152.15	.27891
3	55.1	55.6	3.8	59.7	52.1	52.27	.0513612
6	47.5	47.7	2.4	50.6	45.4	31.92	.328
2	38.6	38.6	3.2	40.9	36.3	9.99	.7411917
3	40.2	40.5	2.9	43.5	37.6	45.18	.1238806
2	59.2	59.2	2.9	61.3	57.2	55.2199	.0672314
1	70	70		70	70	73.74	.0534286
3	69.7	70.9	2.4	73.7	69.4	73.14	.0493544
3	72.3	72.6	3.2	75.9	69.5	65.63	.0922545
3	75	74.3	4	78	70	75.83	.0110667
2	88.7	88.7	10.6	96.2	81.2	84.31	.0494927
2	88.7	88.7	2.8	90.7	86.7	80.29	.094814
1	78.2	78.2		78.2	78.2	90.06	.1516624
2	90.5	90.5	5.2	94.2	86.8	103.31	.141547
2	157.3	157.3	25.4	175.2	139.3	127.34	.1904641
2	116.2	116.2	13.6	125.8	106.6	126.2	.0860585
2	127.8	127.8	4.7	131.2	124.5	125.03	.0216745
1	188.5	188.5		188.5	188.5	198.92	.0552785
1	273.4	273.4		273.4	273.4	284.7	.0413314
3	31.6	31.4	.4	31.6	30.9	25.6385	.1886551
10	25.3	25.4	3.2	32.2	21.3	17.0059	.32783
14	20.7	21.9	3.6	30	16.8	17.8678	.1368213
12	18.8	19	3	23.2	14.7	9.9969	.46825
13	20.6	20.3	2.9	24.4	12.2	22.166	.0760194
10	-9.3	-10.8	21.9	14.7	-34.8	-3.044	.6726882
9	360.6	331	53.5	385.8	224.2	409.62	.1359401
10	724.5	682.9	137.2	793.6	323.3	734.59	.0139268
6	623.8	630.8	27	680.1	607.3	730.85	.1716095
5	672.6	651.4	72.4	712.1	526	533.48	.2068391
4	370.7	374.6	29.3	412.3	344.7	350.26	.0551389
4	101.6	99.5	20.5	121.8	73	142.33	.4008858
3	168.5	161.2	13.2	169.1	146	55	.6735905
3	182.5	169.1	23.4	182.7	142	139.8405	.2337507
2	155.3	155.3	39.6	183.3	127.3	70.8563	.5437456
1	13.6	13.6		13.6	13.6	50.36	2.702941
1	24.9	24.9		24.9	24.9	4.14	.8337349
1	45.2	45.2		45.2	45.2	20.14	.5544248
4	44	48.4	11	64.5	41	52.69	.1975
6	129.5	134	17.3	158.9	116.8	142.61	.1012355
5	55.5	61.1	11.7	80.8	52.1	51.93	.0643243
6	87.7	86.9	11.3	101.8	73	79.35	.0952109
2	123.4	123.4	21.3	138.5	108.4	82.61	.3305511
4	130.2	130.1	7.8	138.9	121	115.44	.1133641
5	146	147.7	6.8	156.8	139.7	129.17	.115274
4	175.2	180.1	16.3	203.2	166.8	161.4	.0787671
3	200.2	164.2	71.7	210.8	81.7	71.49	.6429071
4	197	190.1	17	201.4	165	141.07	.2839086
4	159.7	164.1	10.6	179.9	156.9	32.17	.7985598
5	115.6	117.9	19.7	148.5	94.3		
1						422.2699	.872426
2	47.6	47.6	3.7	50.2	45	48.0806	.0100966
2	81.7	81.7	3.3	84	79.3	-10.7293	1.131326
1	29.8	29.8		29.8	29.8	30.4003	.0201443
2	9.4	9.4	.2	9.5	9.3	35.0739	2.731266
1	44.8	44.8		44.8	44.8	57.36	.2803572
3	60.8	59.1	3	60.9	55.6	39.25	.3544408
5	73.1	74.1	4	78.6	68.5	65.91	.0983584
4	70.4	70.2	5.7	76.6	63.3	74.28	.0551136
6	92	92.6	5.2	99.3	86.6	93.65	.0179348
3	100.9	101.7	2.4	104.4	99.8	79.09	.2161546
2	46	46	51.4	82.4	9.7	30.98	.3265217
4	41.5	41.2	6.2	47.7	34.2	49.7961	.199906
4	54.8	54.5	3.2	58	50.3	33.2142	.3939015
4	55	54	6.2	60.2	45.7		
1						198.42	.9358051
1	68.9	68.9		68.9	68.9	79.08	.1477504
1					-210.5	-241.23	.1459858
2	16.5	16.5	.2	16.7	16.3	14.0114	.1508242
1	21.5	21.5		21.5	21.5	16.9121	.2133907
1	13	13		13	13	10.1945	.2158077
2	20.2	20.2	5	23.7	16.6	19.1212	.0534059
3	30	30	2.5	32.5	27.5	27.5269	.0824367
7	43.9	45.6	6.8	59.5	37.9	40.49	.0776765
6	57	57.8	4	65.2	54.4	51.13	.1029825
4	49.1	49.4	8.3	57.2	42.1	39.15	.2026477
2	41.9	41.9	1.3	42.8	41	34.32	.1809069
2	26.1	26.1	.2	26.3	25.9	29.09	.1145594
3	33.1	33.8	4.1	38.3	30.1	28.86	.1280967
2	31.5	31.5	1.8	32.8	30.2	31.07	.0136508
1	74.6	74.6		74.6	74.6	80.78	.0828418
2	107.6	107.6	3.3	109.9	105.3	103.57	.0374535
4	123.3	123.1	8.9	133.3	112.7	132.13	.071614
4	105.3	109.8	16.2	132.8	95.6	100.92	.0415954
4	193.6	194	3.9	198	190.6	179.5893	.0723693
1	2	2		2	2	1.8416	.0792
1	2.1	2.1		2.1	2.1	1.579	.2480952
1	1.8	1.8		1.8	1.8	1.5991	.1116111
1	1.6	1.6		1.6	1.6	2.1691	.3556875
2	2.8	2.8	0	2.8	2.8	2.7162	.0299286
5	5.1	5.1	.3	5.5	4.8	4.965	.0264706
5	5.8	5.9	.2	6.2	5.8	5.345	.0784483
4	5.6	5.6	.3	5.8	5.2	4.645	.1705357
3	3.8	4.6	2	6.8	3	1.585	.5828947
5	7	7.1	.5	7.7	6.3	6.795	.0292857
4	7.9	7.9	.9	8.9	7.1	7.41	.0620253
4	3.9	3.9	.5	4.5	3.3	4.44	.1384615
5	3.3	3.4	1.3	4.9	1.9	2.36	.2848485
3	.8	.9	.8	1.7	.2	1.25	.5625
1							
1							
1	47.2	47.2		47.2	47.2	20.24	.5711864
1	26.5	26.5		26.5	26.5		
