STATPERS	NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	syear	sm	sym	month	eyear	em	eym	FE
18oct2001	1	228.2	228.2		228.2	228.2	89.8466	2001	10	2001m10	501	2002	8	2002m8	.6062813
20oct2005	12	126.2	126.9	4.2	135.5	119.1	132.4599	2005	10	2005m10	549	2006	8	2006m8	.049603
19oct2006	13	145.6	146.2	3.9	153	139.8	103.9932	2006	10	2006m10	561	2007	8	2007m8	.285761
18oct2007	13	127	127.5	5.2	137.5	118.5	142.4599	2007	10	2007m10	573	2008	8	2008m8	.1217315
16oct2008	16	157.3	158.4	6.6	170.2	139.2	162.9865	2008	10	2008m10	585	2009	8	2009m8	.0361507
15oct2009	17	209.9	210.7	9.6	229.1	188.7	201.9965	2009	10	2009m10	597	2010	8	2010m8	.0376536
14oct2010	20	177.7	201.1	37.8	272.7	159.7	177.9764	2010	10	2010m10	609	2011	8	2011m8	.0015554
20oct2011	21	229.2	230.6	13.7	264.6	198.1	234.5398	2011	10	2011m10	621	2012	8	2012m8	.0232976
18oct2012	23	276.5	275.6	14.3	297.5	237.4	295.7064	2012	10	2012m10	633	2013	8	2013m8	.0694626
17oct2013	22	311	310.7	22.1	363.6	242.8	243.8364	2013	10	2013m10	645	2014	8	2014m8	.2159601
16oct2014	19	340	342.9	20.9	386.2	308.8	359.8063	2014	10	2014m10	657	2015	8	2015m8	.0582538
15oct2015	20	435.2	427.8	49.2	513.6	300	157.1032	2015	10	2015m10	669	2016	8	2016m8	.6390092
20oct2016	18	344.5	348.8	35.6	447.1	285	389.8996	2016	10	2016m10	681	2017	8	2017m8	.131784
19oct2017	17	398.7	398.1	19.2	425.3	340.7	505.9028	2017	10	2017m10	693	2018	8	2018m8	.2688809
18oct2018	17	548.1	542.4	30.6	591.7	466.7	531.0661	2018	10	2018m10	705	2019	8	2019m8	.0310781
17oct2019	14	608.9	612.5	33.2	656.7	528.9	295.0497	2019	10	2019m10	717	2020	8	2020m8	.5154381
15oct2020	16	541.2	524.7	76.5	635.3	325.2	554.371	2020	10	2020m10	729	2021	8	2021m8	.0243367
14oct2021	13	649.1	650	39.2	729.4	583.4	891.7636	2021	10	2021m10	741	2022	8	2022m8	.3738463
20oct2022	12	750.4	749.5	53	847.4	638.7		2022	10	2022m10	753	2023	8	2023m8	
