STATPERS	NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	syear	sm	sym	month	eyear	em	eym	FE
14nov2002	17	72.1	78	16.8	115.6	61.3	67.6833	2002	11	2002m11	514	2003	8	2003m8	.061258
20nov2003	14	107.9	106.9	8.9	119.6	80.4	101.6399	2003	11	2003m11	526	2004	8	2004m8	.0580176
18nov2004	16	133.7	132	6.2	137.6	113.4	110.6632	2004	11	2004m11	538	2005	8	2005m8	.1723022
17nov2005	13	125.5	125.8	3.4	133.1	119.1	132.4599	2005	11	2005m11	550	2006	8	2006m8	.0554574
16nov2006	13	145.6	146.4	3.2	150.7	139.8	103.9932	2006	11	2006m11	562	2007	8	2007m8	.285761
15nov2007	14	125.1	124.6	3.9	130.9	117.8	142.4599	2007	11	2007m11	574	2008	8	2008m8	.1387682
20nov2008	16	159.5	160.2	7.7	170.2	139.2	162.9865	2008	11	2008m11	586	2009	8	2009m8	.0218589
19nov2009	17	216.6	221.4	15.9	252	203	201.9965	2009	11	2009m11	598	2010	8	2010m8	.0674215
18nov2010	19	170.3	177.2	21.9	259.7	159.7	177.9764	2010	11	2010m11	610	2011	8	2011m8	.0450757
17nov2011	22	228.8	227.5	10.9	250.1	198.1	234.5398	2011	11	2011m11	622	2012	8	2012m8	.0250865
15nov2012	22	276.4	273.4	13.9	297.5	233.7	295.7064	2012	11	2012m11	634	2013	8	2013m8	.0698495
14nov2013	22	302.8	306.9	23	363.6	233.2	243.8364	2013	11	2013m11	646	2014	8	2014m8	.1947279
20nov2014	21	340	349.8	28	398.7	304.8	359.8063	2014	11	2014m11	658	2015	8	2015m8	.0582538
19nov2015	20	407.5	412.9	47.1	504.2	300	157.1032	2015	11	2015m11	670	2016	8	2016m8	.6144707
17nov2016	19	347.5	343.5	27.2	393.8	285	389.8996	2016	11	2016m11	682	2017	8	2017m8	.1220132
16nov2017	17	399.1	401.1	21.4	436	340.7	505.9028	2017	11	2017m11	694	2018	8	2018m8	.2676091
15nov2018	17	553.6	551.7	37.1	654.4	466.7	531.0661	2018	11	2018m11	706	2019	8	2019m8	.0407043
14nov2019	14	608.9	612.4	32.6	656.7	528.9	295.0497	2019	11	2019m11	718	2020	8	2020m8	.5154381
19nov2020	16	556.8	542.9	76.1	620.5	325.2	554.371	2020	11	2020m11	730	2021	8	2021m8	.0043624
18nov2021	13	621	624.1	43.4	729.4	581.9	891.7636	2021	11	2021m11	742	2022	8	2022m8	.4360122
17nov2022	13	764.3	759.7	50.1	847.4	638.7		2022	11	2022m11	754	2023	8	2023m8	
